variant,symbol,year,trades,net_usd,avg_trade_usd,win_rate_pct
chicago_daily_reset,MES,2023,301,2185.6668643271837,7.261351708728185,78.40531561461795
chicago_daily_reset,MES,2024,609,4096.059079858678,6.725876978421475,81.44499178981938
chicago_daily_reset,MES,2025,589,9703.44282371381,16.474436033469967,87.77589134125637
chicago_daily_reset,MES,2026,290,5530.927680444676,19.07216441532647,92.06896551724138
chicago_daily_reset,MNQ,2023,262,4471.439125915682,17.066561549296495,83.96946564885496
chicago_daily_reset,MNQ,2024,589,13943.87695253869,23.673814859997776,83.1918505942275
chicago_daily_reset,MNQ,2025,553,18819.176832432822,34.03106117980619,86.61844484629296
chicago_daily_reset,MNQ,2026,259,13863.2,53.525868725868726,93.82239382239382
chicago_daily_reset,MYM,2023,276,1593.171158202135,5.772359268848316,68.11594202898551
chicago_daily_reset,MYM,2024,554,3417.4021571265903,6.1685959514920405,62.8158844765343
chicago_daily_reset,MYM,2025,512,6998.8103565555375,13.669551477647534,77.9296875
chicago_daily_reset,MYM,2026,276,3993.1580620432587,14.467963992910358,80.07246376811594
et_daily_reset,MES,2023,279,2250.517407536059,8.066370636329962,80.28673835125448
et_daily_reset,MES,2024,581,4321.277177952476,7.437654351036965,83.99311531841653
et_daily_reset,MES,2025,556,9157.747755527836,16.470769344474526,88.3093525179856
et_daily_reset,MES,2026,298,5857.036715815915,19.65448562354334,92.61744966442953
et_daily_reset,MNQ,2023,253,4882.382580336862,19.29795486299155,83.79446640316206
et_daily_reset,MNQ,2024,563,13713.031860085028,24.35707257563948,85.2575488454707
et_daily_reset,MNQ,2025,536,17808.113437715645,33.224092234544116,87.1268656716418
et_daily_reset,MNQ,2026,253,13821.4,54.6300395256917,93.67588932806325
et_daily_reset,MYM,2023,275,1705.236975770349,6.2008617300739965,69.45454545454545
et_daily_reset,MYM,2024,576,3496.1316854774345,6.069673065064991,63.71527777777778
et_daily_reset,MYM,2025,524,6803.402029391443,12.983591659143976,76.90839694656488
et_daily_reset,MYM,2026,267,4094.6018321085953,15.335587386174515,83.52059925093633
pine_current_proxy,MES,2023,311,2099.543131232527,6.750942544156034,77.491961414791
pine_current_proxy,MES,2024,632,4158.906402237203,6.580548104805701,81.4873417721519
pine_current_proxy,MES,2025,610,9738.493593090423,15.964743595230201,87.54098360655738
pine_current_proxy,MES,2026,305,5809.177680444676,19.046484198179268,92.45901639344262
pine_current_proxy,MNQ,2023,273,4489.739125915681,16.445930864160005,82.78388278388277
pine_current_proxy,MNQ,2024,609,14190.87695253869,23.301932598585697,83.08702791461413
pine_current_proxy,MNQ,2025,573,18981.176832432822,33.12596305834698,86.38743455497382
pine_current_proxy,MNQ,2026,273,14336.9,52.516117216117216,93.04029304029304
pine_current_proxy,MYM,2023,286,1581.421158202135,5.529444609098374,66.43356643356644
pine_current_proxy,MYM,2024,580,3374.8302401673827,5.8186728278747974,61.206896551724135
pine_current_proxy,MYM,2025,536,7032.885356555537,13.121054769693167,76.49253731343283
pine_current_proxy,MYM,2026,288,4064.7580620432586,14.113743270983537,78.47222222222221
server_current,MES,2023,286,2245.4884319627313,7.851358153715844,80.06993006993007
server_current,MES,2024,597,4313.577177952476,7.225422408630613,83.58458961474037
server_current,MES,2025,566,9281.997755527836,16.39928932072056,88.51590106007066
server_current,MES,2026,302,5915.736715815916,19.58853217157588,92.3841059602649
server_current,MNQ,2023,262,4904.5825803368625,18.71978084098039,82.82442748091603
server_current,MNQ,2024,576,13824.931860085027,24.001617812647616,84.89583333333334
server_current,MNQ,2025,543,18009.713437715647,33.1670597379662,87.10865561694291
server_current,MNQ,2026,257,13983.6,54.41089494163424,93.77431906614785
server_current,MYM,2023,280,1708.361975770349,6.1012927706083895,69.28571428571428
server_current,MYM,2024,594,3521.7816854774346,5.928925396426657,63.2996632996633
server_current,MYM,2025,543,6866.977029391443,12.646366536632492,75.87476979742172
server_current,MYM,2026,275,4093.5018321085954,14.88546120766762,82.18181818181817
