signal_ts_et,symbol,side,score
2026-07-02 10:30:00-04:00,AAPL,C,70
2026-07-06 10:15:00-04:00,AAPL,C,70
2026-07-06 10:45:00-04:00,AAPL,C,70
2026-07-06 11:00:00-04:00,AAPL,C,70
2026-07-06 11:15:00-04:00,AAPL,C,70
2026-07-07 10:30:00-04:00,AAPL,C,70
2026-07-07 11:00:00-04:00,AAPL,C,70
2026-07-07 11:15:00-04:00,AAPL,C,70
2026-07-07 11:30:00-04:00,AAPL,C,70
2026-07-08 13:00:00-04:00,AAPL,C,70
2026-07-08 13:15:00-04:00,AAPL,C,70
2026-07-08 13:30:00-04:00,AAPL,C,70
2026-07-09 11:15:00-04:00,AAPL,C,70
2026-07-09 13:45:00-04:00,AAPL,C,70
2026-07-10 12:45:00-04:00,AAPL,C,70
2026-07-15 10:00:00-04:00,AAPL,C,70
2026-07-15 11:15:00-04:00,AAPL,C,70
2026-07-15 11:30:00-04:00,AAPL,C,70
2026-07-15 12:00:00-04:00,AAPL,C,70
2026-07-16 09:45:00-04:00,AAPL,C,70
2026-07-16 10:30:00-04:00,AAPL,C,70
2026-07-16 11:15:00-04:00,AAPL,C,70
2026-07-16 11:30:00-04:00,AAPL,C,70
2026-07-17 10:30:00-04:00,AAPL,C,70
2026-07-17 11:00:00-04:00,AAPL,C,70
2026-07-17 11:15:00-04:00,AAPL,C,70
2026-06-15 11:45:00-04:00,AMZN,C,70
2026-06-15 13:00:00-04:00,AMZN,C,70
2026-06-15 13:15:00-04:00,AMZN,C,70
2026-06-16 10:45:00-04:00,AMZN,C,70
2026-06-16 11:00:00-04:00,AMZN,C,70
2026-06-18 13:15:00-04:00,AMZN,C,70
2026-06-24 10:45:00-04:00,AMZN,C,70
2026-06-24 11:00:00-04:00,AMZN,C,70
2026-06-29 09:45:00-04:00,AMZN,C,70
2026-06-29 10:15:00-04:00,AMZN,C,70
2026-06-29 12:45:00-04:00,AMZN,C,70
2026-06-30 12:30:00-04:00,AMZN,C,70
2026-07-01 10:30:00-04:00,AMZN,C,70
2026-07-01 10:45:00-04:00,AMZN,C,70
2026-07-01 11:15:00-04:00,AMZN,C,70
2026-07-01 13:00:00-04:00,AMZN,C,70
2026-07-02 10:00:00-04:00,AMZN,C,70
2026-07-02 10:15:00-04:00,AMZN,C,70
2026-07-02 10:30:00-04:00,AMZN,C,70
2026-07-02 12:00:00-04:00,AMZN,C,70
2026-07-06 11:30:00-04:00,AMZN,C,70
2026-07-06 13:00:00-04:00,AMZN,C,70
2026-07-06 13:15:00-04:00,AMZN,C,70
2026-07-07 09:45:00-04:00,AMZN,C,70
2026-07-07 12:45:00-04:00,AMZN,C,70
2026-07-07 13:30:00-04:00,AMZN,C,70
2026-07-07 13:45:00-04:00,AMZN,C,70
2026-07-10 11:15:00-04:00,AMZN,C,70
2026-07-10 11:30:00-04:00,AMZN,C,70
2026-07-10 14:00:00-04:00,AMZN,C,70
2026-07-13 10:45:00-04:00,AMZN,C,70
2026-07-13 12:15:00-04:00,AMZN,C,70
2026-07-13 13:15:00-04:00,AMZN,C,70
2026-07-15 10:00:00-04:00,AMZN,C,70
2026-07-15 10:15:00-04:00,AMZN,C,70
2026-07-15 11:00:00-04:00,AMZN,C,70
2026-07-15 11:15:00-04:00,AMZN,C,70
2026-07-16 10:15:00-04:00,AMZN,C,70
2026-07-16 10:30:00-04:00,AMZN,C,70
2026-07-16 11:45:00-04:00,AMZN,C,70
2026-07-16 12:45:00-04:00,AMZN,C,70
2026-06-15 11:00:00-04:00,MSFT,C,70
2026-06-15 11:45:00-04:00,MSFT,C,70
2026-06-26 12:30:00-04:00,MSFT,C,70
2026-06-26 13:30:00-04:00,MSFT,C,70
2026-06-26 14:00:00-04:00,MSFT,C,70
2026-06-30 11:15:00-04:00,MSFT,C,70
2026-06-30 12:45:00-04:00,MSFT,C,70
2026-07-01 10:00:00-04:00,MSFT,C,70
2026-07-01 10:15:00-04:00,MSFT,C,70
2026-07-01 10:30:00-04:00,MSFT,C,70
2026-07-01 10:45:00-04:00,MSFT,C,70
2026-07-02 10:00:00-04:00,MSFT,C,70
2026-07-02 10:15:00-04:00,MSFT,C,70
2026-07-02 11:45:00-04:00,MSFT,C,70
2026-07-02 12:00:00-04:00,MSFT,C,70
2026-07-07 10:15:00-04:00,MSFT,C,70
2026-07-10 12:15:00-04:00,MSFT,C,70
2026-07-10 12:45:00-04:00,MSFT,C,70
2026-07-13 10:45:00-04:00,MSFT,C,70
2026-07-13 11:00:00-04:00,MSFT,C,70
2026-07-13 11:15:00-04:00,MSFT,C,70
2026-07-13 12:15:00-04:00,MSFT,C,70
2026-07-15 10:00:00-04:00,MSFT,C,70
2026-07-15 10:15:00-04:00,MSFT,C,70
2026-07-15 11:15:00-04:00,MSFT,C,70
2026-07-15 12:00:00-04:00,MSFT,C,70
2026-07-16 10:15:00-04:00,MSFT,C,70
2026-07-16 10:30:00-04:00,MSFT,C,70
2026-07-16 11:15:00-04:00,MSFT,C,70
2026-07-16 11:45:00-04:00,MSFT,C,70
2026-06-15 09:45:00-04:00,META,C,70
2026-06-15 10:30:00-04:00,META,C,70
