date,time_et,hour_et,symbol,right,entryPrice,armed,reason,pnl_dollars,recon_score,c_trend,c_vwap_evt,c_or_evt,c_squeeze,c_rsi,c_vol,has_event_comp,state_only,fire_rank,recon_env_ok,atr_pct,or_range_pct
2026-06-29,11:00,11,SPY,C,0.52,False,timestop,0.0,60,True,False,True,True,False,False,True,False,1,True,0.445,0.625
2026-06-29,11:15,11,SPY,C,3.14,False,timestop,0.0,60,True,False,True,True,False,False,True,False,2,True,0.428,0.625
2026-06-29,11:45,11,QQQ,C,1.11,False,timestop,0.0,45,True,False,False,True,False,False,False,True,1,True,0.534,0.952
2026-06-29,12:15,12,QQQ,C,1.48,False,timestop,0.0,45,True,False,False,True,False,False,False,True,2,True,0.486,0.952
2026-06-29,14:00,14,IWM,C,0.03,False,timestop,0.0,45,False,False,True,True,True,False,True,False,1,True,0.326,0.758
2026-06-30,10:30,10,IWM,C,0.82,False,timestop,0.0,45,True,False,False,True,False,False,False,True,1,True,0.292,0.575
2026-06-30,10:30,10,QQQ,C,1.48,False,timestop,0.0,45,True,False,False,True,False,False,False,True,1,True,0.332,1.103
2026-06-30,11:15,11,SPY,C,1.14,False,timestop,0.0,45,True,False,False,True,False,False,False,True,1,True,0.199,0.414
2026-07-01,10:15,10,IWM,C,2.24,False,timestop,0.0,55,True,False,False,True,False,True,False,True,1,True,0.25,0.679
2026-07-01,10:15,10,TSLA,C,3.99,False,timestop,0.0,55,True,False,False,True,False,True,False,True,1,True,0.674,1.708
2026-07-01,10:30,10,MSFT,C,3.3,False,timestop,0.0,45,True,False,False,True,False,False,False,True,1,True,0.598,1.624
2026-07-01,11:00,11,AAPL,P,1.39,False,timestop,0.0,0,False,False,False,False,False,False,False,False,1,False,0.507,1.452
2026-07-01,11:00,11,AAPL,C,0.89,False,timestop,0.0,45,True,False,False,True,False,False,False,True,1,True,0.507,1.452
2026-07-01,11:15,11,SPY,C,0.38,False,timestop,0.0,45,True,False,False,True,False,False,False,True,1,True,0.163,0.399
2026-07-02,11:15,11,IWM,P,2.46,False,timestop,0.0,45,True,False,False,True,False,False,False,True,1,True,0.339,0.715
2026-07-02,13:00,13,SPY,P,0.56,False,timestop,0.0,45,True,False,False,True,False,False,False,True,1,True,0.221,0.555
2026-07-06,10:15,10,MSFT,P,2.93,False,timestop,32.0,20,False,False,False,True,False,False,False,False,1,False,0.559,2.08
2026-07-06,10:30,10,SPY,C,0.97,False,timestop,26.0,70,True,False,True,True,False,True,True,False,1,True,0.226,0.285
2026-07-06,10:30,10,AAPL,P,0.58,False,timestop,7.0,0,False,False,False,False,False,False,False,False,1,False,0.474,0.958
2026-07-06,12:15,12,IWM,C,0.46,False,timestop,19.0,45,True,False,False,True,False,False,False,True,1,True,0.271,0.87
2026-07-06,14:30,14,META,C,1.88,False,timestop,122.0,55,True,False,False,True,False,True,False,True,1,True,0.502,2.668
2026-07-07,10:00,10,NVDA,P,3.35,False,timestop,50.0,70,True,False,True,True,False,True,True,False,1,True,0.522,0.972
2026-07-07,10:00,10,GOOGL,C,4.2,False,timestop,30.0,55,True,False,False,True,False,True,False,True,1,True,0.437,1.809
2026-07-07,10:00,10,MSFT,C,3.14,False,timestop,111.0,55,True,False,False,True,False,True,False,True,1,True,0.484,1.601
2026-07-07,10:00,10,QQQ,P,2.13,False,timestop,264.0,55,True,False,False,True,False,True,False,True,1,True,0.352,0.893
2026-07-07,10:00,10,AVGO,P,4.45,False,timestop,135.0,20,False,False,False,True,False,False,False,False,1,False,0.727,2.049
2026-07-07,10:00,10,AMZN,P,4.35,False,timestop,255.0,25,False,False,True,False,False,True,True,False,1,False,0.498,1.735
2026-07-07,10:00,10,META,C,5.75,False,timestop,150.0,45,True,False,False,True,False,False,False,True,1,True,0.587,1.672
2026-07-07,10:15,10,IWM,P,0.61,False,timestop,10.0,55,True,False,False,True,False,True,False,True,1,True,0.275,1.209
2026-07-07,10:45,10,AAPL,C,1.17,False,timestop,48.0,60,True,True,True,False,False,False,True,False,1,True,0.412,1.719
2026-07-07,12:00,12,AMZN,P,2.75,False,timestop,19.0,30,False,False,False,True,True,False,False,False,2,False,0.518,1.735
2026-07-07,14:15,14,META,C,5.94,False,timestop,436.0,35,True,False,False,False,False,True,False,False,2,True,0.574,1.672
2026-07-08,10:00,10,TSLA,P,2.93,True,trail,32.0,70,True,False,True,True,False,True,True,False,1,True,0.698,1.493
2026-07-08,10:00,10,IWM,P,1.23,True,trail,36.0,60,True,False,True,True,False,False,True,False,1,True,0.274,0.507
2026-07-08,10:00,10,NVDA,C,0.39,True,trail,20.0,35,True,False,False,False,False,True,False,False,1,True,0.633,2.437
2026-07-08,10:15,10,SPY,P,2.79,True,trail,33.0,60,True,False,True,True,False,False,True,False,1,True,0.177,0.308
2026-07-08,10:15,10,IWM,P,1.84,True,trail,31.0,60,True,False,True,True,False,False,True,False,2,True,0.287,0.507
2026-07-08,10:15,10,QQQ,P,2.57,True,trail,38.0,60,True,False,True,True,False,False,True,False,1,True,0.315,0.689
2026-07-08,10:45,10,SPY,P,0.95,True,trail,22.0,60,True,False,True,True,False,False,True,False,2,True,0.186,0.308
2026-07-08,11:00,11,NVDA,C,0.68,True,trail,10.0,75,True,True,False,True,False,True,True,False,2,True,0.676,2.437
2026-07-08,11:00,11,TSLA,P,3.95,True,trail,35.0,45,True,False,False,True,False,False,False,True,2,True,0.696,1.493
2026-07-08,12:30,12,SPY,C,0.61,True,trail,12.0,45,False,True,True,False,True,False,True,False,1,True,0.196,0.308
2026-07-08,12:30,12,QQQ,C,3.1,True,trail,47.0,45,False,True,True,False,True,False,True,False,1,True,0.354,0.689
2026-07-09,10:00,10,META,P,5.15,True,trail,75.0,60,True,False,True,True,False,False,True,False,1,True,0.812,2.622
2026-07-09,10:00,10,MSFT,P,4.3,True,trail,145.0,40,True,False,True,False,False,False,True,False,1,True,0.456,1.599
2026-07-09,10:00,10,IWM,C,1.83,True,trail,43.0,45,False,False,True,True,False,True,True,False,1,True,0.297,0.617
2026-07-09,10:00,10,QQQ,C,3.82,False,timestop,-193.0,55,True,False,False,True,False,True,False,True,1,True,0.359,0.872
2026-07-09,10:15,10,AVGO,P,5.35,True,trail,50.0,30,False,False,False,True,True,False,False,False,1,False,0.953,2.644
2026-07-09,10:15,10,NVDA,P,2.2,False,timestop,-87.0,10,False,False,False,False,True,False,False,False,1,False,0.701,1.56
2026-07-09,10:15,10,TSLA,P,5.94,False,timestop,-149.0,60,True,False,True,False,True,True,True,False,1,True,0.608,1.378
2026-07-09,11:15,11,QQQ,C,2.36,True,trail,37.0,65,True,True,False,True,False,False,True,False,2,True,0.371,0.872
2026-07-09,11:30,11,SPY,C,0.81,True,trail,9.0,45,True,False,False,True,False,False,False,True,1,True,0.189,0.476
2026-07-09,11:30,11,IWM,C,2.25,False,timestop,-2.0,45,True,False,False,True,False,False,False,True,2,True,0.286,0.617
2026-07-09,12:00,12,SPY,C,0.86,True,trail,13.0,45,True,False,False,True,False,False,False,True,2,True,0.174,0.476
2026-07-10,10:00,10,IWM,C,1.4,True,trail,14.0,60,True,False,True,False,True,True,True,False,1,True,0.227,0.876
2026-07-10,10:00,10,AMZN,P,0.92,True,trail,18.0,10,False,False,False,False,True,False,False,False,1,False,0.495,2.124
2026-07-10,10:45,10,GOOGL,P,1.83,True,trail,23.0,25,True,False,False,False,False,False,False,False,1,True,0.449,0.937
2026-07-10,10:45,10,MSFT,P,2.75,True,trail,115.0,10,False,False,False,False,True,False,False,False,1,False,0.453,1.845
2026-07-10,10:45,10,AMZN,P,0.83,True,trail,25.0,10,False,False,False,False,True,False,False,False,2,False,0.508,2.124
2026-07-10,10:45,10,QQQ,C,3.54,True,trail,66.0,60,True,False,True,False,True,True,True,False,1,True,0.281,0.585
2026-07-10,11:45,11,QQQ,C,2.59,True,trail,65.0,50,True,False,True,False,True,False,True,False,2,True,0.313,0.585
2026-07-10,13:00,13,IWM,C,0.91,True,trail,36.0,45,False,True,True,False,True,False,True,False,2,True,0.238,0.876
2026-07-10,14:15,14,IWM,C,1.27,False,timestop,0.0,45,False,False,True,True,True,False,True,False,3,True,0.2,0.876
2026-07-13,10:00,10,IWM,P,0.83,True,trail,21.0,50,True,False,True,False,False,True,True,False,1,True,0.208,0.479
2026-07-13,10:00,10,MSFT,C,5.4,False,timestop,-80.0,70,True,False,True,True,False,True,True,False,1,True,0.419,1.405
2026-07-13,10:00,10,AAPL,C,3.05,False,timestop,-246.0,55,True,False,False,True,False,True,False,True,1,True,0.44,2.212
2026-07-13,10:00,10,META,C,12.1,False,timestop,-970.0,50,True,False,True,False,True,False,True,False,1,True,0.931,2.629
2026-07-13,10:15,10,IWM,P,0.64,True,trail,37.0,50,True,False,True,False,False,True,True,False,2,True,0.231,0.479
2026-07-13,10:30,10,SPY,C,0.4,False,timestop,-27.0,60,True,False,True,False,True,True,True,False,1,True,0.152,0.265
2026-07-13,10:30,10,IWM,P,1.03,False,timestop,-17.0,50,True,False,True,False,False,True,True,False,3,True,0.267,0.479
2026-07-13,11:15,11,QQQ,P,0.74,True,trail,17.0,60,True,False,True,True,False,False,True,False,1,True,0.321,0.74
2026-07-13,11:30,11,QQQ,P,3.45,True,trail,68.0,60,True,False,True,True,False,False,True,False,2,True,0.314,0.74
2026-07-14,10:00,10,AVGO,C,4.0,True,trail,145.0,30,False,True,False,False,False,True,True,False,1,True,0.75,2.851
2026-07-14,10:00,10,META,C,8.5,True,trail,-75.0,30,False,False,False,True,True,False,False,False,1,True,0.649,2.095
2026-07-14,10:00,10,QQQ,P,3.14,True,trail,24.0,60,True,False,True,False,True,True,True,False,1,True,0.306,0.441
2026-07-14,10:15,10,SPY,P,1.03,True,trail,105.0,50,True,False,True,False,True,False,True,False,1,True,0.159,0.314
2026-07-14,10:30,10,SPY,P,1.35,False,timestop,-41.0,50,True,False,True,False,True,False,True,False,2,True,0.173,0.314
2026-07-14,11:00,11,QQQ,C,1.2,True,trail,23.0,55,False,True,True,True,False,False,True,False,1,True,0.362,0.441
2026-07-14,11:15,11,IWM,C,0.49,True,trail,5.0,35,False,False,True,True,False,False,True,False,1,True,0.307,0.49
2026-07-14,11:15,11,TSLA,C,3.95,True,trail,15.0,20,False,False,False,True,False,False,False,False,1,True,0.605,1.422
2026-07-14,11:45,11,SPY,C,2.94,False,timestop,-129.0,45,False,False,True,True,True,False,True,False,1,True,0.195,0.314
2026-07-14,12:00,12,IWM,C,0.37,False,timestop,1.0,45,False,False,True,True,True,False,True,False,2,True,0.296,0.49
2026-07-14,12:45,12,SPY,C,1.51,True,trail,25.0,45,False,True,True,False,True,False,True,False,2,True,0.182,0.314
2026-07-15,10:00,10,IWM,C,0.78,True,trail,55.0,70,True,True,True,False,False,True,True,False,1,True,0.228,0.526
2026-07-15,10:00,10,AMZN,C,1.84,True,trail,161.0,70,True,False,True,True,False,True,True,False,1,True,0.502,1.017
2026-07-15,10:00,10,AVGO,C,1.94,False,timestop,-139.0,35,True,False,False,False,False,True,False,False,1,True,0.648,1.677
2026-07-15,10:15,10,IWM,C,1.15,True,trail,24.0,45,True,False,False,True,False,False,False,True,2,True,0.228,0.526
2026-07-15,10:15,10,AAPL,C,0.23,True,trail,131.0,55,True,False,False,True,False,True,False,True,1,True,0.479,1.417
2026-07-15,10:15,10,SPY,C,0.91,True,trail,23.0,60,True,False,True,True,False,False,True,False,1,True,0.151,0.319
2026-07-15,10:30,10,SPY,C,0.95,True,trail,-4.0,70,True,False,True,True,False,True,True,False,2,True,0.161,0.319
2026-07-15,10:30,10,META,C,3.5,True,trail,170.0,55,True,False,False,True,False,True,False,True,1,True,0.66,1.291
2026-07-15,10:30,10,MSFT,C,1.7,True,trail,106.0,55,True,False,False,True,False,True,False,True,1,True,0.591,1.309
2026-07-15,10:30,10,IWM,C,1.46,True,trail,14.0,45,True,False,False,True,False,False,False,True,3,True,0.233,0.526
2026-07-15,10:30,10,QQQ,C,2.13,False,timestop,-164.0,45,True,False,False,False,True,True,False,True,1,True,0.282,0.754
2026-07-15,10:45,10,GOOGL,C,2.45,True,trail,60.0,55,True,False,False,True,False,True,False,True,1,True,0.481,1.878
2026-07-15,10:45,10,IWM,C,1.56,True,trail,14.0,45,True,False,False,True,False,False,False,True,4,True,0.236,0.526
2026-07-15,11:15,11,META,C,1.14,True,trail,396.0,55,True,False,False,True,False,True,False,True,2,True,0.762,1.291
2026-07-15,11:15,11,AMZN,C,0.62,True,trail,46.0,45,True,False,False,True,False,False,False,True,2,True,0.56,1.017
2026-07-15,11:30,11,QQQ,P,1.89,False,timestop,-40.0,45,True,False,False,True,False,False,False,True,1,True,0.31,0.754
2026-07-15,11:45,11,AAPL,C,1.47,True,trail,56.0,45,True,False,False,True,False,False,False,True,2,True,0.474,1.417
2026-07-15,12:00,12,QQQ,P,1.4,True,trail,145.0,45,True,False,False,True,False,False,False,True,2,True,0.295,0.754
2026-07-16,10:00,10,AAPL,P,3.9,False,timestop,-80.0,10,False,False,False,False,False,True,False,False,1,False,0.449,1.334
2026-07-16,10:00,10,IWM,C,1.51,True,trail,91.0,55,True,False,False,True,False,True,False,True,1,True,0.238,0.74
2026-07-16,10:15,10,SPY,C,0.33,True,trail,19.0,70,True,False,True,True,True,False,True,False,1,True,0.175,0.38
2026-07-16,10:15,10,AMZN,P,2.95,False,timestop,-99.0,30,False,False,False,True,True,False,False,False,1,False,0.52,2.162
2026-07-16,10:30,10,SPY,C,0.52,True,trail,16.0,45,True,False,False,True,False,False,False,True,2,True,0.174,0.38
2026-07-16,10:30,10,IWM,C,2.76,False,timestop,-34.0,45,True,False,False,True,False,False,False,True,2,True,0.257,0.74
2026-07-16,10:45,10,SPY,C,0.81,False,timestop,-9.0,45,True,False,False,True,False,False,False,True,3,True,0.169,0.38
2026-07-16,11:00,11,QQQ,P,1.29,True,trail,5.0,60,True,False,True,True,False,False,True,False,1,True,0.348,0.933
2026-07-16,11:15,11,QQQ,P,1.4,True,trail,70.0,80,True,True,True,True,False,False,True,False,2,True,0.354,0.933
2026-07-16,11:30,11,QQQ,P,2.18,False,timestop,-44.0,60,True,False,True,True,False,False,True,False,3,True,0.355,0.933
2026-07-16,13:00,13,MSFT,C,2.37,True,trail,15.0,45,True,False,False,True,False,False,False,True,1,True,0.527,1.699
2026-07-16,14:00,14,SPY,P,0.43,True,trail,-3.0,60,True,False,True,True,False,False,True,False,1,True,0.159,0.38
2026-07-16,14:15,14,SPY,P,0.41,True,trail,14.0,60,True,False,True,True,False,False,True,False,2,True,0.157,0.38
