trade_id,date,symbol,side,engine,score,c_rsi,c_vwap_evt,c_trend,strike,entry_price,exit_price,exit_reason,exit_min,armed,mfe_pct,mins_to_first_uptick,pnl
2026-07-08_GOOGL_P_1300,2026-07-08,GOOGL,P,prime,55,,,,360.0,3.25,3.05,timestop,17.0,False,-1.5,,-20.0
2026-07-08_MSFT_P_1300,2026-07-08,MSFT,P,prime,55,,,,380.0,3.55,2.91,timestop,16.5,False,-4.2,,-64.0
2026-07-08_SPY_C_1400,2026-07-08,SPY,C,scout,45,True,False,False,745.0,0.9,0.91,trail,16.0,True,31.1,1.0,1.0
2026-07-08_SPY_C_1415,2026-07-08,SPY,C,scout,45,True,False,False,746.0,0.59,0.32,timestop,16.0,False,-1.7,,-27.0
2026-07-09_TSLA_C_1000,2026-07-09,TSLA,C,prime,70,,,,397.5,4.45,3.7,trail,10.0,True,21.3,1.0,-75.0
2026-07-09_GOOGL_P_1015,2026-07-09,GOOGL,P,prime,85,,,,352.5,3.7,2.55,timestop,16.0,False,6.8,4.0,-115.0
2026-07-09_META_P_1015,2026-07-09,META,P,prime,45,,,,590.0,6.45,5.7,timestop,16.0,False,-3.1,,-75.0
2026-07-09_MSFT_P_1015,2026-07-09,MSFT,P,prime,70,,,,375.0,3.1,2.64,timestop,15.7,False,6.5,2.0,-46.0
2026-07-09_QQQ_C_1015,2026-07-09,QQQ,C,scout,45,False,False,True,720.0,1.64,1.2,trail,16.0,True,16.5,1.0,-44.0
2026-07-09_TSLA_P_1015,2026-07-09,TSLA,P,prime,75,,,,392.5,5.1,4.25,timestop,16.0,False,-2.0,,-85.0
2026-07-09_QQQ_C_1030,2026-07-09,QQQ,C,scout,50,False,False,True,719.0,2.14,2.07,trail,14.0,True,17.8,5.0,-7.0
2026-07-09_QQQ_C_1115,2026-07-09,QQQ,C,scout,65,False,True,True,721.0,2.03,1.9,timestop,16.0,False,-1.0,,-13.0
2026-07-09_IWM_C_1130,2026-07-09,IWM,C,scout,45,False,False,True,298.0,0.15,0.17,trail,16.0,True,40.0,11.0,2.0
2026-07-09_SPY_C_1130,2026-07-09,SPY,C,scout,45,False,False,True,750.0,0.82,0.84,trail,24.0,True,20.7,8.0,2.0
2026-07-09_AAPL_C_1200,2026-07-09,AAPL,C,prime,80,,,,315.0,1.97,1.66,timestop,15.0,False,1.5,4.0,-31.0
2026-07-09_SPY_C_1200,2026-07-09,SPY,C,scout,45,False,False,True,750.0,0.86,1.14,window_end,28.0,True,45.3,1.0,28.0
2026-07-09_SPY_C_1215,2026-07-09,SPY,C,scout,45,False,False,True,751.0,0.59,0.61,timestop,16.0,False,6.8,8.0,2.0
2026-07-09_MSFT_P_1445,2026-07-09,MSFT,P,prime,55,,,,380.0,2.51,2.32,timestop,15.1,False,-1.2,,-19.0
2026-07-10_NVDA_C_1000,2026-07-10,NVDA,C,prime,55,,,,207.5,1.18,1.03,trail,4.0,True,19.5,1.0,-15.0
2026-07-10_QQQ_C_1045,2026-07-10,QQQ,C,scout,60,True,False,True,722.0,2.04,1.09,timestop,16.0,False,2.0,4.0,-95.0
2026-07-10_QQQ_C_1100,2026-07-10,QQQ,C,scout,50,True,False,True,721.0,1.63,3.7,window_end,27.9,True,127.0,3.0,207.0
2026-07-10_QQQ_C_1115,2026-07-10,QQQ,C,scout,50,True,False,True,722.0,1.94,2.42,trail,20.0,True,55.2,1.0,48.0
2026-07-10_IWM_C_1300,2026-07-10,IWM,C,scout,45,True,True,False,296.0,0.32,0.31,timestop,16.0,False,-3.1,,-1.0
2026-07-10_IWM_C_1415,2026-07-10,IWM,C,scout,45,True,False,False,297.0,0.06,0.05,timestop,16.1,False,-16.7,,-1.0
2026-07-13_AAPL_C_1000,2026-07-13,AAPL,C,prime,35,,,,322.5,3.45,3.3,timestop,15.0,False,2.9,1.0,-15.0
2026-07-13_MSFT_C_1000,2026-07-13,MSFT,C,prime,75,,,,390.0,5.3,4.2,timestop,16.0,False,-2.8,,-110.0
2026-07-13_IWM_P_1015,2026-07-13,IWM,P,scout,50,False,False,True,294.0,0.61,0.87,trail,3.9,True,72.1,1.0,26.0
