trade_id,symbol,live_reason,sim_reason,live_armed,sim_armed,live_pnl,sim_pnl,pnl_gap,live_entry,sim_entry_ask,entry_fill_gap
2026-07-15_1400_IWM_C_295000,IWM,trail,trail,True,True,55.0,62.0,7.0,0.78,1.15,0.37
2026-07-15_1400_AMZN_C_250000,AMZN,trail,trail,True,True,161.0,211.0,50.0,1.84,2.75,0.91
2026-07-15_1400_AVGO_C_400000,AVGO,timestop,timestop,False,False,-139.0,-144.0,-5.0,1.94,1.75,-0.19
2026-07-15_1415_IWM_C_295000,IWM,trail,trail,True,True,24.0,15.0,-9.0,1.15,1.46,0.31
2026-07-15_1415_AAPL_C_325000,AAPL,trail,trail,True,True,131.0,129.0,-2.0,0.23,1.41,1.18
2026-07-15_1415_SPY_C_755000,SPY,trail,trail,True,True,23.0,3.0,-20.0,0.91,0.95,0.04
2026-07-15_1430_SPY_C_755000,SPY,trail,timestop,True,False,-4.0,-50.0,-46.0,0.95,0.92,-0.03
2026-07-15_1430_META_C_670000,META,trail,trail,True,True,170.0,225.0,55.0,3.5,5.15,1.65
2026-07-15_1430_MSFT_C_395000,MSFT,trail,trail,True,True,106.0,115.0,9.0,1.7,2.07,0.37
2026-07-15_1430_IWM_C_295000,IWM,trail,trail,True,True,14.0,2.0,-12.0,1.46,1.56,0.1
2026-07-15_1430_QQQ_C_720000,QQQ,timestop,timestop,False,False,-164.0,-169.0,-5.0,2.13,1.22,-0.91
2026-07-15_1445_GOOGL_C_365000,GOOGL,trail,trail,True,True,60.0,25.0,-35.0,2.45,3.05,0.6
2026-07-15_1445_IWM_C_295000,IWM,trail,trail,True,True,14.0,12.0,-2.0,1.56,1.67,0.11
2026-07-15_1515_META_C_680000,META,trail,trail,True,True,396.0,261.0,-135.0,1.14,5.35,4.21
2026-07-15_1515_AMZN_C_255000,AMZN,trail,trail,True,True,46.0,38.0,-8.0,0.62,1.18,0.56
2026-07-15_1530_QQQ_P_715000,QQQ,timestop,timestop,False,False,-40.0,-51.0,-11.0,1.89,1.24,-0.65
2026-07-15_1545_AAPL_C_325000,AAPL,trail,trail,True,True,56.0,35.0,-21.0,1.47,2.1,0.63
2026-07-15_1600_QQQ_P_715000,QQQ,trail,trail,True,True,145.0,125.0,-20.0,1.4,1.7,0.3
